"LICEUL ""DR. LAZAR CHIRILA"" BAIA DE ARIES",./SpecPerLic.aspx?jud=1&Lic=11295184,Teoretica,Real,Ştiinţe ale Naturii,5.77
"LICEUL ""HOREA, CLOSCA SI CRISAN"" ABRUD",./SpecPerLic.aspx?jud=1&Lic=11295324,Teoretica,Real,Matematică-Informatică,4.58
"LICEUL ""HOREA, CLOSCA SI CRISAN"" ABRUD",./SpecPerLic.aspx?jud=1&Lic=11295324,Tehnologica,Tehnic,Mecanică,3.09
LICEUL GERMAN SEBES,./SpecPerLic.aspx?jud=1&Lic=11295364,Teoretica,Umanist,Filologie,5.01
LICEUL GERMAN SEBES,./SpecPerLic.aspx?jud=1&Lic=11295364,Teoretica,Real,Ştiinţe ale Naturii,5.25
"LICEUL TEHNOLOGIC ""ALEXANDRU DOMSA"" ALBA IULIA",./SpecPerLic.aspx?jud=1&Lic=11292129,Tehnologica,Tehnic,Electronică automatizări,5.97
"LICEUL TEHNOLOGIC ""STEFAN MANCIULEA"" BLAJ",./SpecPerLic.aspx?jud=1&Lic=11295230,Tehnologica,Resurse naturale si protectia mediului,Agricultură,5.86
"LICEUL TEHNOLOGIC ""STEFAN MANCIULEA"" BLAJ",./SpecPerLic.aspx?jud=1&Lic=11295230,Tehnologica,Servicii,Economic,6.93
"LICEUL TEHNOLOGIC AGRICOL ""ALEXANDRU BORZA"" CIUMBRUD",./SpecPerLic.aspx?jud=1&Lic=11295227,Tehnologica,Resurse naturale si protectia mediului,Agricultură,2.91
LICEUL TEHNOLOGIC AIUD,./SpecPerLic.aspx?jud=1&Lic=11295285,Tehnologica,Servicii,Economic,4.73
LICEUL TEHNOLOGIC AIUD,./SpecPerLic.aspx?jud=1&Lic=11295285,Tehnologica,Tehnic,Mecanică,2.95
LICEUL TEHNOLOGIC SEBES,./SpecPerLic.aspx?jud=1&Lic=11295272,Tehnologica,Servicii,Comerţ,6.8
LICEUL TEHNOLOGIC SEBES,./SpecPerLic.aspx?jud=1&Lic=11295272,Tehnologica,Servicii,Economic,7.19
